id,name,party,sector,country,episode
uvdl,Ursula von der Leyen,cdu,politik,deutschland,500
lk,Lars Klingbeil,spd,politik,deutschland,500 503
nr,Norbert Röttgen,cdu,politik,deutschland,500 502
sw,Sarah Wagenknecht,linke,politik,deutschland,500
cs,Dr. Constanze Stelzenmüller,NA,law,usa,500
cl,Christian Lindner,fdp,politik,deutschland,501
ks,Karl Schlögel,NA,geschichte,deutschland,501
lm,Ljudmyla Melnyk,NA,wissenschaft,ukraine,501
kd,Kristina Dunz,NA,presse,deutschland,501
ab,Annalena Baerbock,grüne,politik,deutschland,502
ft,Frans Timmermans,NA,politik,europa,502
am,Andrij Melnyk,NA,politik,ukraine,502
agl,Alexander Graf Lambsdorff,fdp,politik,deutschland,502
er,Egon Ramms,NA,militär,deutschland,502
rh,Robert Habeck,grüne,politik,deutschland,503
cm,Claudia Major,NA,wissenschaft,deutschland,503
kp,Katja Petrowskaja,NA,presse,ukraine,503
rk,Roderich Kiesewetter,cdu,politik,deutschland,503